,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
5,790,1,0,0,70,73,72,0,0,0,0,0,0
5,795,1,0,0,70,73,72,0,0,0,0,0,0
5,800,1,0,0,70,73,72,0,0,0,0,0,0
5,805,1,0,0,70,73,72,0,0,0,0,0,0
5,810,1,0,0,70,73,72,0,0,0,0,0,0
5,815,1,1,0,70,73,72,0,1,0,0,0,1
5,820,1,1,0,70,73,72,0,0,0,0,0,1
5,825,1,0,0,70,74,72,0,0,0,0,0,1
5,830,1,0,0,70,74,72,0,0,0,0,0,1
5,835,1,0,0,70,74,74,0,0,0,0,0,1
5,840,1,0,0,70,74,72,0,0,0,0,0,0
5,845,1,0,0,70,74,72,0,0,0,0,0,0
5,850,1,0,0,70,74,72,0,0,0,0,0,0
5,855,1,0,0,70,74,72,0,0,0,0,0,0
5,860,1,1,0,70,74,72,0,0,0,0,0,0
5,865,1,0,0,70,74,72,0,1,1,0,0,0
5,870,1,0,0,70,75,72,0,0,0,0,0,0
5,875,1,0,0,70,74,72,0,0,0,0,0,0
5,880,1,0,0,72,74,72,0,0,0,0,0,0
5,885,1,0,0,70,74,72,0,0,0,0,0,0
5,890,1,0,0,70,74,72,0,0,0,0,0,0
